Brand,Model,Fuel,Transmission,Selling_Price,Trim
Alfa Romeo,Giulia,Diesel,Automatic,525000,Super
Alfa Romeo,Giulia,Diesel,Automatic,625000,Sprint
Alfa Romeo,Giulia,Diesel,Automatic,725000,Veloce
Alfa Romeo,Giulia,Diesel,Automatic,1085000,Quadrifoglio
Alfa Romeo,Stelvio,Diesel,Automatic,625000,Super
Alfa Romeo,Stelvio,Diesel,Automatic,725000,Sprint
Alfa Romeo,Stelvio,Diesel,Automatic,825000,Veloce
Alfa Romeo,Stelvio,Diesel,Automatic,1285000,Quadrifoglio
Audi,A3,Diesel,Automatic,394000,Dynamic TDI
Audi,A3,Diesel,Automatic,410000,Dynamic Plus TDI
Audi,A3,Diesel,Automatic,424000,Advanced TDI
Audi,A3,Diesel,Automatic,438000,Emotion TDI
Audi,A3,Diesel,Automatic,465000,Emotion Plus TDI
Audi,A3,Diesel,Automatic,485000,Design Luxe TDI
Audi,A3,Diesel,Automatic,505000,S-Line TDI
Audi,A3,Diesel,Automatic,523000,S-Line Plus TDI
Audi,A3,Diesel,Automatic,543000,S-Line Competition TDI
Audi,A4,Diesel,Automatic,585000,Dynamic TDI
Audi,A4,Diesel,Automatic,608000,Advanced TDI
Audi,A4,Diesel,Automatic,625000,Advanced Plus TDI
Audi,A4,Diesel,Automatic,645000,Emotion TDI
Audi,A4,Diesel,Automatic,672000,Emotion Plus TDI
Audi,A4,Diesel,Automatic,695000,Design Luxe TDI
Audi,A4,Diesel,Automatic,710000,S-Line TDI
Audi,A4,Diesel,Automatic,725000,S-Line Competition TDI
Audi,A6,Diesel,Automatic,865000,Advanced TDI
Audi,A6,Diesel,Automatic,965000,Design Luxe TDI
Audi,A6,Diesel,Automatic,1085000,S-Line TDI
Audi,Q3,Gasoline,Automatic,525000,Dynamic
Audi,Q3,Gasoline,Automatic,545000,Advanced
Audi,Q3,Gasoline,Automatic,565000,Advanced Plus
Audi,Q3,Gasoline,Automatic,585000,Emotion
Audi,Q3,Gasoline,Automatic,608000,Emotion Plus
Audi,Q3,Gasoline,Automatic,628000,Design Luxe
Audi,Q3,Gasoline,Automatic,645000,S-Line
Audi,Q3,Gasoline,Automatic,655000,S-Line Black Edition
Audi,Q5,Diesel,Automatic,715000,Dynamic TDI Quattro
Audi,Q5,Diesel,Automatic,745000,Advanced TDI Quattro
Audi,Q5,Diesel,Automatic,770000,Advanced Plus TDI Quattro
Audi,Q5,Diesel,Automatic,795000,Emotion TDI Quattro
Audi,Q5,Diesel,Automatic,805000,Emotion Plus TDI Quattro
Audi,Q5,Diesel,Automatic,838000,Design Luxe TDI Quattro
Audi,Q5,Diesel,Automatic,865000,S-Line TDI Quattro
Audi,Q5,Diesel,Automatic,885000,S-Line Plus TDI Quattro
Audi,Q5,Diesel,Automatic,905000,S-Line Competition TDI Quattro
Audi,Q7,Diesel,Automatic,1185000,Advanced TDI
