Brand,Model,Fuel,Transmission,Selling_Price
Audi,A3,Diesel,Automatic,394000
Audi,A3,Diesel,Automatic,410000
Audi,A3,Diesel,Automatic,424000
Audi,A3,Diesel,Automatic,438000
Audi,A3,Diesel,Automatic,465000
Audi,A3,Diesel,Automatic,485000
Audi,A3,Diesel,Automatic,505000
Audi,A3,Diesel,Automatic,523000
Audi,A3,Diesel,Automatic,543000
Audi,A4,Diesel,Automatic,585000
Audi,A4,Diesel,Automatic,608000
Audi,A4,Diesel,Automatic,625000
Audi,A4,Diesel,Automatic,645000
Audi,A4,Diesel,Automatic,672000
Audi,A4,Diesel,Automatic,695000
Audi,A4,Diesel,Automatic,710000
Audi,A4,Diesel,Automatic,725000
Audi,A6,Diesel,Automatic,865000
Audi,A6,Diesel,Automatic,965000
Audi,A6,Diesel,Automatic,1085000
Audi,Q3,Gasoline,Automatic,525000
Audi,Q3,Gasoline,Automatic,545000
Audi,Q3,Gasoline,Automatic,565000
Audi,Q3,Gasoline,Automatic,585000
Audi,Q3,Gasoline,Automatic,608000
Audi,Q3,Gasoline,Automatic,628000
Audi,Q3,Gasoline,Automatic,645000
Audi,Q3,Gasoline,Automatic,655000
Audi,Q5,Diesel,Automatic,715000
Audi,Q5,Diesel,Automatic,745000
Audi,Q5,Diesel,Automatic,770000
Audi,Q5,Diesel,Automatic,795000
Audi,Q5,Diesel,Automatic,805000
Audi,Q5,Diesel,Automatic,838000
Audi,Q5,Diesel,Automatic,865000
Audi,Q5,Diesel,Automatic,885000
Audi,Q5,Diesel,Automatic,905000
Audi,Q7,Diesel,Automatic,1185000
Audi,Q7,Diesel,Automatic,1385000
Audi,Q7,Diesel,Automatic,1585000
BMW,Série 1,Gasoline,Automatic,415000
BMW,Série 1,Gasoline,Automatic,435000
BMW,Série 1,Gasoline,Automatic,452000
BMW,Série 1,Gasoline,Automatic,465000
BMW,Série 1,Gasoline,Automatic,488000
BMW,Série 1,Gasoline,Automatic,505000
BMW,Série 1,Gasoline,Automatic,522000
BMW,Série 1,Gasoline,Automatic,535000
BMW,Série 2,Gasoline,Automatic,465000
BMW,Série 2,Gasoline,Automatic,492000
BMW,Série 2,Gasoline,Automatic,515000
BMW,Série 2,Gasoline,Automatic,535000
BMW,Série 2,Gasoline,Automatic,545000
BMW,Série 2,Gasoline,Automatic,572000
BMW,Série 2,Gasoline,Automatic,595000
BMW,Série 2,Gasoline,Automatic,605000
BMW,Série 3,Diesel,Automatic,585000
BMW,Série 3,Diesel,Automatic,608000
BMW,Série 3,Diesel,Automatic,628000
BMW,Série 3,Diesel,Automatic,645000
BMW,Série 3,Diesel,Automatic,672000
BMW,Série 3,Diesel,Automatic,695000
BMW,Série 3,Diesel,Automatic,715000
BMW,Série 3,Diesel,Automatic,735000
BMW,Série 4,Gasoline,Automatic,675000
BMW,Série 4,Gasoline,Automatic,705000
