Brand,Model,Fuel,Transmission,Selling_Price
Dacia,Sandero,Gasoline,Manual,125000
Dacia,Sandero,Gasoline,Manual,135000
Dacia,Sandero,Gasoline,Manual,145000
Dacia,Sandero,Gasoline,Manual,155000
Dacia,Sandero,Gasoline,Manual,165000
Dacia,Logan,Gasoline,Manual,135000
Dacia,Logan,Gasoline,Manual,145000
Dacia,Logan,Gasoline,Manual,155000
Dacia,Logan,Gasoline,Manual,165000
Dacia,Logan,Gasoline,Manual,178000
Dacia,Duster,Gasoline,Manual,175000
Dacia,Duster,Gasoline,Manual,195000
Dacia,Duster,Gasoline,Manual,210000
Dacia,Duster,Diesel,Manual,220000
Dacia,Duster,Diesel,4x4,242000
Dacia,Lodgy,Gasoline,Manual,165000
Dacia,Lodgy,Gasoline,Manual,185000
Dacia,Lodgy,Diesel,Manual,195000
Dacia,Dokker,Gasoline,Manual,145000
Dacia,Dokker,Gasoline,Manual,155000
Dacia,Dokker,Diesel,Manual,170000
Renault,Clio,Gasoline,Manual,165000
Renault,Clio,Gasoline,Manual,185000
Renault,Clio,Gasoline,Automatic,205000
Renault,Clio,Gasoline,Automatic,215000
Renault,Megane,Gasoline,Manual,220000
Renault,Megane,Gasoline,Manual,245000
Renault,Megane,Gasoline,Manual,265000
Renault,Megane,Diesel,Automatic,285000
Renault,Captur,Gasoline,Manual,235000
Renault,Captur,Gasoline,Manual,255000
Renault,Captur,Gasoline,Manual,275000
Renault,Captur,Diesel,Automatic,305000
Renault,Kadjar,Diesel,Automatic,315000
Renault,Kadjar,Diesel,Automatic,345000
Renault,Kadjar,Diesel,Automatic,370000
Renault,Kadjar,Diesel,Automatic,395000
Renault,Koleos,Diesel,Automatic,385000
Renault,Koleos,Diesel,Automatic,415000
Renault,Koleos,Diesel,Automatic,445000
Renault,Koleos,Diesel,Automatic,465000
Peugeot,208,Gasoline,Manual,175000
Peugeot,208,Gasoline,Manual,185000
Peugeot,208,Gasoline,Manual,195000
Peugeot,208,Gasoline,Automatic,215000
Peugeot,208,Gasoline,Automatic,235000
Peugeot,308,Gasoline,Manual,235000
Peugeot,308,Gasoline,Manual,265000
Peugeot,308,Gasoline,Manual,290000
Peugeot,308,Diesel,Automatic,315000
Peugeot,2008,Gasoline,Manual,245000
Peugeot,2008,Gasoline,Manual,275000
Peugeot,2008,Gasoline,Manual,295000
Peugeot,2008,Diesel,Automatic,325000
Peugeot,3008,Gasoline,Automatic,365000
Peugeot,3008,Gasoline,Automatic,395000
Peugeot,3008,Diesel,Automatic,435000
Peugeot,3008,Hybrid,Automatic,465000
Peugeot,3008,Hybrid,Automatic,485000
Peugeot,5008,Diesel,Automatic,445000
Peugeot,5008,Diesel,Automatic,485000
Peugeot,5008,Diesel,Automatic,525000
Toyota,Yaris,Gasoline,Manual,189000
Toyota,Yaris,Gasoline,Manual,195000
Toyota,Yaris,Gasoline,Manual,205000
Toyota,Yaris,Hybrid,Automatic,195000
Toyota,Yaris,Hybrid,Automatic,205000
Toyota,Yaris,Hybrid,Automatic,215000
Toyota,Corolla,Gasoline,Manual,265000
Toyota,Corolla,Gasoline,Manual,285000
Toyota,Corolla,Gasoline,Manual,310000
Toyota,Corolla,Hybrid,Automatic,335000
Toyota,RAV4,Gasoline,Automatic,465000
Toyota,RAV4,Gasoline,Automatic,495000
Toyota,RAV4,Gasoline,Automatic,525000
Toyota,RAV4,Hybrid,Automatic,555000
Toyota,RAV4,Hybrid,Automatic,575000
Toyota,Hilux,Diesel,Manual,485000
Toyota,Hilux,Diesel,Manual,545000
Toyota,Hilux,Diesel,Automatic,575000
Toyota,Hilux,Diesel,Automatic,625000
Toyota,Land Cruiser,Diesel,Automatic,980000
Toyota,Land Cruiser,Diesel,Automatic,1150000
Toyota,Land Cruiser,Diesel,Automatic,1250000
Hyundai,i10,Gasoline,Manual,115000
Hyundai,i10,Gasoline,Manual,125000
Hyundai,i10,Gasoline,Manual,145000
Hyundai,i20,Gasoline,Manual,155000
Hyundai,i20,Gasoline,Manual,175000
Hyundai,i20,Gasoline,Automatic,195000
Hyundai,Accent,Gasoline,Manual,185000
Hyundai,Accent,Gasoline,Manual,205000
Hyundai,Accent,Gasoline,Automatic,235000
Hyundai,Tucson,Gasoline,Automatic,365000
Hyundai,Tucson,Gasoline,Automatic,395000
Hyundai,Tucson,Diesel,Automatic,425000
Hyundai,Tucson,Hybrid,Automatic,465000
Hyundai,Tucson,Hybrid,Automatic,485000
Hyundai,Santa Fe,Diesel,Automatic,525000
Hyundai,Santa Fe,Diesel,Automatic,575000
Hyundai,Santa Fe,Diesel,Automatic,645000
Kia,Picanto,Gasoline,Manual,105000
Kia,Picanto,Gasoline,Manual,115000
Kia,Picanto,Gasoline,Automatic,125000
Kia,Picanto,Gasoline,Automatic,145000
Kia,Rio,Gasoline,Manual,155000
Kia,Rio,Gasoline,Manual,175000
Kia,Rio,Gasoline,Automatic,195000
Kia,Sportage,Gasoline,Automatic,355000
Kia,Sportage,Gasoline,Automatic,385000
Kia,Sportage,Diesel,Automatic,425000
Kia,Sportage,Hybrid,Automatic,465000
Kia,Sportage,Hybrid,Automatic,485000
Kia,Sorento,Diesel,Automatic,485000
Kia,Sorento,Diesel,Automatic,540000
Kia,Sorento,Diesel,Automatic,595000
Kia,Stinger,Gasoline,Automatic,615000
Kia,Stinger,Gasoline,Automatic,745000
Volkswagen,Polo,Gasoline,Manual,175000
Volkswagen,Polo,Gasoline,Manual,195000
Volkswagen,Polo,Diesel,Manual,215000
Volkswagen,Polo,Gasoline,Manual,235000
Volkswagen,Golf,Gasoline,Automatic,255000
Volkswagen,Golf,Gasoline,Automatic,285000
Volkswagen,Golf,Diesel,Automatic,315000
Volkswagen,Golf,Gasoline,Automatic,335000
Volkswagen,Tiguan,Gasoline,Automatic,425000
Volkswagen,Tiguan,Gasoline,Automatic,475000
Volkswagen,Tiguan,Diesel,Automatic,525000
Volkswagen,Tiguan,Diesel,Automatic,565000
Volkswagen,Passat,Diesel,Automatic,395000
Volkswagen,Passat,Diesel,Automatic,435000
Volkswagen,Passat,Diesel,Automatic,485000
Volkswagen,Touareg,Diesel,Automatic,825000
Volkswagen,Touareg,Diesel,Automatic,905000
Volkswagen,Touareg,Diesel,Automatic,985000
Audi,A3,Diesel,Automatic,394000
Audi,A3,Diesel,Automatic,438000
Audi,A3,Diesel,Automatic,543000
Audi,A4,Diesel,Automatic,585000
Audi,A4,Diesel,Automatic,645000
Audi,A4,Diesel,Automatic,725000
Audi,Q3,Gasoline,Automatic,525000
Audi,Q3,Gasoline,Automatic,585000
Audi,Q3,Gasoline,Automatic,655000
Audi,Q5,Diesel,Automatic,715000
Audi,Q5,Diesel,Automatic,805000
Audi,Q5,Diesel,Automatic,905000
BMW,Série 1,Gasoline,Automatic,415000
BMW,Série 1,Gasoline,Automatic,465000
BMW,Série 1,Gasoline,Automatic,535000
BMW,Série 2,Gasoline,Automatic,465000
BMW,Série 2,Gasoline,Automatic,545000
BMW,Série 2,Gasoline,Automatic,605000
BMW,Série 3,Diesel,Automatic,585000
BMW,Série 3,Diesel,Automatic,645000
BMW,Série 3,Diesel,Automatic,735000
BMW,Série 4,Gasoline,Automatic,675000
BMW,Série 4,Gasoline,Automatic,765000
BMW,Série 4,Gasoline,Automatic,855000
BMW,X1,Gasoline,Automatic,495000
BMW,X1,Gasoline,Automatic,560000
BMW,X1,Gasoline,Automatic,625000
BMW,X3,Diesel,Automatic,695000
BMW,X3,Diesel,Automatic,775000
BMW,X3,Diesel,Automatic,875000
Mercedes,Classe A,Gasoline,Automatic,375000
Mercedes,Classe A,Gasoline,Automatic,425000
Mercedes,Classe A,Gasoline,Automatic,475000
Mercedes,Classe A,Gasoline,Automatic,505000
Mercedes,Classe C,Diesel,Automatic,545000
Mercedes,Classe C,Diesel,Automatic,615000
Mercedes,Classe C,Diesel,Automatic,675000
Mercedes,Classe C,Diesel,Automatic,715000
Mercedes,Classe E,Diesel,Automatic,715000
Mercedes,Classe E,Diesel,Automatic,805000
Mercedes,Classe E,Diesel,Automatic,865000
Mercedes,Classe E,Diesel,Automatic,925000
Mercedes,GLA,Gasoline,Automatic,445000
Mercedes,GLA,Gasoline,Automatic,495000
Mercedes,GLA,Gasoline,Automatic,555000
Mercedes,GLC,Diesel,Automatic,615000
Mercedes,GLC,Diesel,Automatic,685000
Mercedes,GLC,Diesel,Automatic,785000
Ford,Fiesta,Gasoline,Manual,165000
Ford,Fiesta,Gasoline,Automatic,185000
Ford,Fiesta,Gasoline,Automatic,205000
Ford,Focus,Gasoline,Manual,225000
Ford,Focus,Gasoline,Manual,255000
Ford,Focus,Diesel,Automatic,285000
Ford,Kuga,Gasoline,Automatic,375000
Ford,Kuga,Diesel,Automatic,425000
Ford,Kuga,Hybrid,Automatic,485000
Ford,Mustang,Gasoline,Automatic,785000
Ford,Mustang,Gasoline,Automatic,855000
Ford,Mustang,Gasoline,Automatic,925000
Ford,Ranger,Diesel,Manual,435000
Ford,Ranger,Diesel,Manual,495000
Ford,Ranger,Diesel,Automatic,565000
Nissan,Micra,Gasoline,Manual,155000
Nissan,Micra,Gasoline,Automatic,170000
Nissan,Micra,Gasoline,Automatic,185000
Nissan,Juke,Gasoline,Manual,285000
Nissan,Juke,Gasoline,Automatic,320000
Nissan,Juke,Gasoline,Automatic,355000
Nissan,Qashqai,Gasoline,Automatic,335000
Nissan,Qashqai,Gasoline,Automatic,380000
Nissan,Qashqai,Diesel,Automatic,425000
Nissan,X-Trail,Gasoline,Automatic,445000
Nissan,X-Trail,Diesel,Automatic,510000
Nissan,X-Trail,Diesel,Automatic,575000
Nissan,Patrol,Diesel,Automatic,865000
Nissan,Patrol,Diesel,Automatic,960000
Nissan,Patrol,Diesel,Automatic,1050000
Citroen,C3,Gasoline,Manual,165000
Citroen,C3,Gasoline,Manual,190000
Citroen,C3,Diesel,Manual,215000
Citroen,C4,Gasoline,Manual,235000
Citroen,C4,Gasoline,Manual,265000
Citroen,C4,Diesel,Automatic,295000
Citroen,C5 Aircross,Gasoline,Automatic,355000
Citroen,C5 Aircross,Diesel,Automatic,395000
Citroen,C5 Aircross,Diesel,Automatic,435000
Citroen,C5 Aircross,Hybrid,Automatic,465000
Citroen,Berlingo,Diesel,Manual,195000
Citroen,Berlingo,Diesel,Automatic,220000
Citroen,Berlingo,Diesel,Automatic,245000
Citroen,Jumper,Diesel,Manual,315000
Citroen,Jumper,Diesel,Manual,350000
Citroen,Jumper,Diesel,Manual,385000
Mazda,Mazda2,Gasoline,Manual,165000
Mazda,Mazda2,Gasoline,Automatic,185000
Mazda,Mazda2,Gasoline,Automatic,205000
Mazda,Mazda3,Gasoline,Manual,235000
Mazda,Mazda3,Gasoline,Automatic,265000
Mazda,Mazda3,Gasoline,Automatic,295000
Mazda,CX-3,Gasoline,Automatic,265000
Mazda,CX-3,Gasoline,Automatic,295000
Mazda,CX-3,Gasoline,Automatic,325000
Mazda,CX-5,Gasoline,Automatic,385000
Mazda,CX-5,Gasoline,Automatic,435000
Mazda,CX-5,Gasoline,Automatic,485000
Mazda,CX-9,Gasoline,Automatic,525000
