Brand,Model,Fuel,Transmission,Selling_Price,Trim
Dacia,Dokker,Gasoline,Manual,145000,Access
Dacia,Dokker,Gasoline,Manual,150000,Confort
Dacia,Dokker,Gasoline,Manual,155000,Essentiel
Dacia,Dokker,Diesel,Manual,160000,Confort
Dacia,Dokker,Diesel,Manual,165000,Essentiel
Dacia,Dokker,Diesel,Manual,170000,Stepway
Dacia,Duster,Gasoline,Manual,175000,Essentiel
Dacia,Duster,Gasoline,Manual,182000,Essentiel Plus
Dacia,Duster,Gasoline,Manual,189000,Confort
Dacia,Duster,Gasoline,Manual,195000,Confort Plus
Dacia,Duster,Gasoline,Manual,202000,Confort GPS
Dacia,Duster,Gasoline,Manual,210000,Prestige
Dacia,Duster,Diesel,Manual,215000,Essentiel
Dacia,Duster,Diesel,Manual,220000,Confort
Dacia,Duster,Diesel,Manual,226000,Confort Plus
Dacia,Duster,Diesel,Manual,232000,Prestige
Dacia,Duster,Diesel,4x4,237000,Confort 4x4
Dacia,Duster,Diesel,4x4,242000,Prestige 4x4
Dacia,Lodgy,Gasoline,Manual,165000,Essentiel 5 Places
Dacia,Lodgy,Gasoline,Manual,172000,Confort 5 Places
Dacia,Lodgy,Gasoline,Manual,178000,Essentiel 7 Places
Dacia,Lodgy,Gasoline,Manual,185000,Confort 7 Places
Dacia,Lodgy,Gasoline,Manual,190000,Stepway 7 Places
Dacia,Lodgy,Diesel,Manual,195000,Stepway 7 Places
Dacia,Logan,Gasoline,Manual,135000,Access
Dacia,Logan,Gasoline,Manual,140000,Access Plus
Dacia,Logan,Gasoline,Manual,145000,Confort
Dacia,Logan,Gasoline,Manual,150000,Confort Plus
Dacia,Logan,Gasoline,Manual,155000,Essentiel
Dacia,Logan,Gasoline,Manual,160000,Essentiel Plus
Dacia,Logan,Gasoline,Manual,165000,Confort GPS
Dacia,Logan,Gasoline,Manual,170000,Stepway
Dacia,Logan,Gasoline,Manual,175000,Stepway Plus
Dacia,Logan,Gasoline,Manual,178000,Stepway Prestige
Dacia,Sandero,Gasoline,Manual,125000,Access
Dacia,Sandero,Gasoline,Manual,130000,Access Plus
Dacia,Sandero,Gasoline,Manual,135000,Confort
Dacia,Sandero,Gasoline,Manual,140000,Confort Plus
Dacia,Sandero,Gasoline,Manual,145000,Confort+
Dacia,Sandero,Gasoline,Manual,150000,Essentiel
Dacia,Sandero,Gasoline,Manual,155000,Essentiel Plus
Dacia,Sandero,Gasoline,Manual,160000,Confort GPS
Dacia,Sandero,Gasoline,Manual,165000,Stepway
Dacia,Sandero,Gasoline,Manual,170000,Stepway Plus
Peugeot,2008,Gasoline,Manual,245000,Active
Peugeot,2008,Gasoline,Manual,255000,Active Plus
Peugeot,2008,Gasoline,Manual,265000,Allure
Peugeot,2008,Gasoline,Manual,275000,Allure Plus
Peugeot,2008,Gasoline,Manual,285000,Allure Pack
