Brand,Model,Fuel,Transmission,Selling_Price
Dacia,Dokker,Gasoline,Manual,145000
Dacia,Dokker,Gasoline,Manual,150000
Dacia,Dokker,Gasoline,Manual,155000
Dacia,Dokker,Diesel,Manual,160000
Dacia,Dokker,Diesel,Manual,165000
Dacia,Dokker,Diesel,Manual,170000
Dacia,Duster,Gasoline,Manual,175000
Dacia,Duster,Gasoline,Manual,182000
Dacia,Duster,Gasoline,Manual,189000
Dacia,Duster,Gasoline,Manual,195000
Dacia,Duster,Gasoline,Manual,202000
Dacia,Duster,Gasoline,Manual,210000
Dacia,Duster,Diesel,Manual,215000
Dacia,Duster,Diesel,Manual,220000
Dacia,Duster,Diesel,Manual,226000
Dacia,Duster,Diesel,Manual,232000
Dacia,Duster,Diesel,4x4,237000
Dacia,Duster,Diesel,4x4,242000
Dacia,Lodgy,Gasoline,Manual,165000
Dacia,Lodgy,Gasoline,Manual,172000
Dacia,Lodgy,Gasoline,Manual,178000
Dacia,Lodgy,Gasoline,Manual,185000
Dacia,Lodgy,Gasoline,Manual,190000
Dacia,Lodgy,Diesel,Manual,195000
Dacia,Logan,Gasoline,Manual,135000
Dacia,Logan,Gasoline,Manual,140000
Dacia,Logan,Gasoline,Manual,145000
Dacia,Logan,Gasoline,Manual,150000
Dacia,Logan,Gasoline,Manual,155000
Dacia,Logan,Gasoline,Manual,160000
Dacia,Logan,Gasoline,Manual,165000
Dacia,Logan,Gasoline,Manual,170000
Dacia,Logan,Gasoline,Manual,175000
Dacia,Logan,Gasoline,Manual,178000
Dacia,Sandero,Gasoline,Manual,125000
Dacia,Sandero,Gasoline,Manual,130000
Dacia,Sandero,Gasoline,Manual,135000
Dacia,Sandero,Gasoline,Manual,140000
Dacia,Sandero,Gasoline,Manual,145000
Dacia,Sandero,Gasoline,Manual,150000
Dacia,Sandero,Gasoline,Manual,155000
Dacia,Sandero,Gasoline,Manual,160000
Dacia,Sandero,Gasoline,Manual,165000
Dacia,Sandero,Gasoline,Manual,170000
Peugeot,2008,Gasoline,Manual,245000
Peugeot,2008,Gasoline,Manual,255000
Peugeot,2008,Gasoline,Manual,265000
Peugeot,2008,Gasoline,Manual,275000
Peugeot,2008,Gasoline,Manual,285000
Peugeot,2008,Gasoline,Manual,295000
Peugeot,2008,Diesel,Automatic,305000
Peugeot,2008,Diesel,Automatic,315000
Peugeot,2008,Diesel,Automatic,325000
Peugeot,208,Gasoline,Manual,175000
Peugeot,208,Gasoline,Manual,180000
Peugeot,208,Gasoline,Manual,185000
Peugeot,208,Gasoline,Manual,190000
Peugeot,208,Gasoline,Manual,195000
Peugeot,208,Gasoline,Automatic,202000
Peugeot,208,Gasoline,Automatic,208000
Peugeot,208,Gasoline,Automatic,215000
Peugeot,208,Gasoline,Automatic,222000
Peugeot,208,Gasoline,Automatic,228000
Peugeot,208,Gasoline,Automatic,235000
Peugeot,3008,Gasoline,Automatic,365000
Peugeot,3008,Gasoline,Automatic,375000
Peugeot,3008,Gasoline,Automatic,385000
Peugeot,3008,Gasoline,Automatic,395000
Peugeot,3008,Diesel,Automatic,408000
Peugeot,3008,Diesel,Automatic,418000
Peugeot,3008,Diesel,Automatic,428000
Peugeot,3008,Diesel,Automatic,435000
Peugeot,3008,Hybrid,Automatic,448000
Peugeot,3008,Hybrid,Automatic,458000
Peugeot,3008,Hybrid,Automatic,465000
Peugeot,3008,Hybrid,Automatic,478000
Peugeot,3008,Hybrid,Automatic,485000
Peugeot,308,Gasoline,Manual,235000
Peugeot,308,Gasoline,Manual,245000
Peugeot,308,Gasoline,Manual,255000
Peugeot,308,Gasoline,Manual,265000
Peugeot,308,Gasoline,Manual,275000
Peugeot,308,Gasoline,Manual,285000
Peugeot,308,Gasoline,Manual,290000
Peugeot,308,Diesel,Automatic,298000
Peugeot,308,Diesel,Automatic,305000
Peugeot,308,Diesel,Automatic,312000
Peugeot,308,Diesel,Automatic,315000
Peugeot,5008,Diesel,Automatic,445000
Peugeot,5008,Diesel,Automatic,458000
Peugeot,5008,Diesel,Automatic,468000
Peugeot,5008,Diesel,Automatic,478000
Peugeot,5008,Diesel,Automatic,485000
Peugeot,5008,Diesel,Automatic,498000
Peugeot,5008,Diesel,Automatic,508000
Peugeot,5008,Diesel,Automatic,518000
Peugeot,5008,Diesel,Automatic,525000
Renault,Captur,Gasoline,Manual,235000
Renault,Captur,Gasoline,Manual,242000
Renault,Captur,Gasoline,Manual,248000
Renault,Captur,Gasoline,Manual,255000
Renault,Captur,Gasoline,Manual,262000
Renault,Captur,Gasoline,Manual,268000
Renault,Captur,Gasoline,Manual,275000
Renault,Captur,Diesel,Automatic,285000
Renault,Captur,Diesel,Automatic,295000
Renault,Captur,Diesel,Automatic,305000
Renault,Clio,Gasoline,Manual,165000
Renault,Clio,Gasoline,Manual,172000
Renault,Clio,Gasoline,Manual,178000
Renault,Clio,Gasoline,Manual,185000
Renault,Clio,Gasoline,Manual,192000
Renault,Clio,Gasoline,Automatic,198000
Renault,Clio,Gasoline,Automatic,205000
