Brand,Model,Fuel,Transmission,Selling_Price,Trim
Audi,A3,Diesel,Automatic,394000,Dynamic TDI
Audi,A3,Diesel,Automatic,410000,Dynamic Plus TDI
Audi,A3,Diesel,Automatic,424000,Advanced TDI
Audi,A3,Diesel,Automatic,438000,Emotion TDI
Audi,A3,Diesel,Automatic,465000,Emotion Plus TDI
Audi,A3,Diesel,Automatic,485000,Design Luxe TDI
Audi,A3,Diesel,Automatic,505000,S-Line TDI
Audi,A3,Diesel,Automatic,523000,S-Line Plus TDI
Audi,A3,Diesel,Automatic,543000,S-Line Competition TDI
Audi,A4,Diesel,Automatic,585000,Dynamic TDI
Audi,A4,Diesel,Automatic,608000,Advanced TDI
Audi,A4,Diesel,Automatic,625000,Advanced Plus TDI
Audi,A4,Diesel,Automatic,645000,Emotion TDI
Audi,A4,Diesel,Automatic,672000,Emotion Plus TDI
Audi,A4,Diesel,Automatic,695000,Design Luxe TDI
Audi,A4,Diesel,Automatic,710000,S-Line TDI
Audi,A4,Diesel,Automatic,725000,S-Line Competition TDI
Audi,Q3,Gasoline,Automatic,525000,Dynamic
Audi,Q3,Gasoline,Automatic,545000,Advanced
Audi,Q3,Gasoline,Automatic,565000,Advanced Plus
Audi,Q3,Gasoline,Automatic,585000,Emotion
Audi,Q3,Gasoline,Automatic,608000,Emotion Plus
Audi,Q3,Gasoline,Automatic,628000,Design Luxe
Audi,Q3,Gasoline,Automatic,645000,S-Line
Audi,Q3,Gasoline,Automatic,655000,S-Line Black Edition
Audi,Q5,Diesel,Automatic,715000,Dynamic TDI Quattro
Audi,Q5,Diesel,Automatic,745000,Advanced TDI Quattro
Audi,Q5,Diesel,Automatic,770000,Advanced Plus TDI Quattro
Audi,Q5,Diesel,Automatic,795000,Emotion TDI Quattro
Audi,Q5,Diesel,Automatic,805000,Emotion Plus TDI Quattro
Audi,Q5,Diesel,Automatic,838000,Design Luxe TDI Quattro
Audi,Q5,Diesel,Automatic,865000,S-Line TDI Quattro
Audi,Q5,Diesel,Automatic,885000,S-Line Plus TDI Quattro
Audi,Q5,Diesel,Automatic,905000,S-Line Competition TDI Quattro
BMW,Série 1,Gasoline,Automatic,415000,116i
BMW,Série 1,Gasoline,Automatic,435000,116i Advantage
BMW,Série 1,Gasoline,Automatic,452000,118i
BMW,Série 1,Gasoline,Automatic,465000,118i Luxury Line
BMW,Série 1,Gasoline,Automatic,488000,118i M Sport
BMW,Série 1,Gasoline,Automatic,505000,120i M Sport
BMW,Série 1,Gasoline,Automatic,522000,120i M Sport Plus
BMW,Série 1,Gasoline,Automatic,535000,M135i xDrive
BMW,Série 2,Gasoline,Automatic,465000,218i Coupé
BMW,Série 2,Gasoline,Automatic,492000,218i M Sport
BMW,Série 2,Gasoline,Automatic,515000,220i M Sport
BMW,Série 2,Gasoline,Automatic,535000,220i M Sport Plus
BMW,Série 2,Gasoline,Automatic,545000,M240i xDrive
BMW,Série 2,Gasoline,Automatic,572000,M240i xDrive Plus
BMW,Série 2,Gasoline,Automatic,595000,M240i xDrive Competition
BMW,Série 2,Gasoline,Automatic,605000,M2 Competition
BMW,Série 3,Diesel,Automatic,585000,318d
BMW,Série 3,Diesel,Automatic,608000,318d Luxury Line
BMW,Série 3,Diesel,Automatic,628000,320d
BMW,Série 3,Diesel,Automatic,645000,320d Luxury Line
BMW,Série 3,Diesel,Automatic,672000,320d M Sport
BMW,Série 3,Diesel,Automatic,695000,320d M Sport Plus
BMW,Série 3,Diesel,Automatic,715000,320d xDrive M Sport
BMW,Série 3,Diesel,Automatic,735000,M340i xDrive
BMW,Série 4,Gasoline,Automatic,675000,420i Coupé
BMW,Série 4,Gasoline,Automatic,705000,420i M Sport
BMW,Série 4,Gasoline,Automatic,728000,430i M Sport
BMW,Série 4,Gasoline,Automatic,752000,430i M Sport Plus
BMW,Série 4,Gasoline,Automatic,765000,430i xDrive M Sport
