Brand,Model,Fuel,Transmission,Selling_Price,Trim
Citroen,Berlingo,Diesel,Manual,195000,Live
Citroen,Berlingo,Diesel,Manual,205000,Feel
Citroen,Berlingo,Diesel,Automatic,212000,Feel EAT8
Citroen,Berlingo,Diesel,Automatic,220000,Feel Pack EAT8
Citroen,Berlingo,Diesel,Automatic,232000,Shine EAT8
Citroen,Berlingo,Diesel,Automatic,242000,Shine Plus EAT8
Citroen,Berlingo,Diesel,Automatic,245000,XTR Plus EAT8
Citroen,C3,Gasoline,Manual,165000,Live
Citroen,C3,Gasoline,Manual,172000,Live Plus
Citroen,C3,Gasoline,Manual,178000,Feel
Citroen,C3,Gasoline,Manual,185000,Feel Plus
Citroen,C3,Gasoline,Manual,190000,Shine
Citroen,C3,Diesel,Manual,202000,Feel BlueHDi
Citroen,C3,Diesel,Manual,210000,Shine BlueHDi
Citroen,C3,Diesel,Manual,215000,Shine Pack BlueHDi
Citroen,C4,Gasoline,Manual,235000,Live
Citroen,C4,Gasoline,Manual,248000,Feel
Citroen,C4,Gasoline,Manual,258000,Feel Plus
Citroen,C4,Gasoline,Manual,265000,Shine
Citroen,C4,Diesel,Automatic,278000,Feel BlueHDi
Citroen,C4,Diesel,Automatic,288000,Shine BlueHDi
Citroen,C4,Diesel,Automatic,295000,Shine Pack BlueHDi
Citroen,C5 Aircross,Gasoline,Automatic,355000,Live
Citroen,C5 Aircross,Gasoline,Automatic,372000,Feel
Citroen,C5 Aircross,Diesel,Automatic,388000,Feel BlueHDi
Citroen,C5 Aircross,Diesel,Automatic,395000,Feel Pack BlueHDi
Citroen,C5 Aircross,Diesel,Automatic,412000,Shine BlueHDi
Citroen,C5 Aircross,Diesel,Automatic,428000,Shine Plus BlueHDi
Citroen,C5 Aircross,Diesel,Automatic,435000,Shine Pack BlueHDi
Citroen,C5 Aircross,Hybrid,Automatic,448000,Feel Hybrid
Citroen,C5 Aircross,Hybrid,Automatic,458000,Shine Hybrid
Citroen,C5 Aircross,Hybrid,Automatic,465000,Shine Pack Hybrid
Citroen,Jumper,Diesel,Manual,315000,Club
Citroen,Jumper,Diesel,Manual,328000,Club Plus
Citroen,Jumper,Diesel,Manual,342000,Confort
Citroen,Jumper,Diesel,Manual,350000,Confort Pack
Citroen,Jumper,Diesel,Manual,368000,Business
