Brand,Model,Fuel,Transmission,Selling_Price
Citroen,Berlingo,Diesel,Manual,195000
Citroen,Berlingo,Diesel,Manual,205000
Citroen,Berlingo,Diesel,Automatic,212000
Citroen,Berlingo,Diesel,Automatic,220000
Citroen,Berlingo,Diesel,Automatic,232000
Citroen,Berlingo,Diesel,Automatic,242000
Citroen,Berlingo,Diesel,Automatic,245000
Citroen,C3,Gasoline,Manual,165000
Citroen,C3,Gasoline,Manual,172000
Citroen,C3,Gasoline,Manual,178000
Citroen,C3,Gasoline,Manual,185000
Citroen,C3,Gasoline,Manual,190000
Citroen,C3,Diesel,Manual,202000
Citroen,C3,Diesel,Manual,210000
Citroen,C3,Diesel,Manual,215000
Citroen,C4,Gasoline,Manual,235000
Citroen,C4,Gasoline,Manual,248000
Citroen,C4,Gasoline,Manual,258000
Citroen,C4,Gasoline,Manual,265000
Citroen,C4,Diesel,Automatic,278000
Citroen,C4,Diesel,Automatic,288000
Citroen,C4,Diesel,Automatic,295000
Citroen,C5 Aircross,Gasoline,Automatic,355000
Citroen,C5 Aircross,Gasoline,Automatic,372000
Citroen,C5 Aircross,Diesel,Automatic,388000
Citroen,C5 Aircross,Diesel,Automatic,395000
Citroen,C5 Aircross,Diesel,Automatic,412000
Citroen,C5 Aircross,Diesel,Automatic,428000
Citroen,C5 Aircross,Diesel,Automatic,435000
Citroen,C5 Aircross,Hybrid,Automatic,448000
Citroen,C5 Aircross,Hybrid,Automatic,458000
Citroen,C5 Aircross,Hybrid,Automatic,465000
Citroen,Jumper,Diesel,Manual,315000
Citroen,Jumper,Diesel,Manual,328000
Citroen,Jumper,Diesel,Manual,342000
Citroen,Jumper,Diesel,Manual,350000
Citroen,Jumper,Diesel,Manual,368000
Citroen,Jumper,Diesel,Manual,378000
Citroen,Jumper,Diesel,Manual,385000
Fiat,500,Gasoline,Manual,155000
Fiat,500,Gasoline,Manual,162000
Fiat,500,Gasoline,Automatic,168000
Fiat,500,Gasoline,Automatic,175000
Fiat,500,Gasoline,Automatic,182000
Fiat,500,Gasoline,Automatic,188000
Fiat,500,Gasoline,Automatic,195000
Fiat,500X,Gasoline,Manual,245000
Fiat,500X,Gasoline,Manual,262000
Fiat,500X,Gasoline,Automatic,275000
Fiat,500X,Gasoline,Automatic,280000
Fiat,500X,Gasoline,Automatic,298000
Fiat,500X,Gasoline,Automatic,308000
Fiat,500X,Gasoline,Automatic,315000
Fiat,Tipo,Gasoline,Manual,165000
Fiat,Tipo,Gasoline,Manual,175000
Fiat,Tipo,Gasoline,Manual,185000
Fiat,Tipo,Gasoline,Manual,195000
Fiat,Tipo,Diesel,Manual,208000
Fiat,Tipo,Diesel,Manual,218000
Fiat,Tipo,Diesel,Manual,225000
Ford,Fiesta,Gasoline,Manual,165000
Ford,Fiesta,Gasoline,Manual,172000
Ford,Fiesta,Gasoline,Automatic,178000
Ford,Fiesta,Gasoline,Automatic,185000
Ford,Fiesta,Gasoline,Automatic,195000
Ford,Fiesta,Gasoline,Automatic,205000
Ford,Focus,Gasoline,Manual,225000
Ford,Focus,Gasoline,Manual,238000
Ford,Focus,Gasoline,Manual,248000
Ford,Focus,Gasoline,Manual,255000
Ford,Focus,Diesel,Automatic,268000
Ford,Focus,Diesel,Automatic,278000
Ford,Focus,Diesel,Automatic,285000
Ford,Kuga,Gasoline,Automatic,375000
Ford,Kuga,Gasoline,Automatic,392000
Ford,Kuga,Diesel,Automatic,408000
Ford,Kuga,Diesel,Automatic,425000
Ford,Kuga,Hybrid,Automatic,445000
Ford,Kuga,Hybrid,Automatic,462000
Ford,Kuga,Hybrid,Automatic,478000
Ford,Kuga,Hybrid,Automatic,485000
Ford,Mustang,Gasoline,Automatic,785000
Ford,Mustang,Gasoline,Automatic,815000
Ford,Mustang,Gasoline,Automatic,842000
Ford,Mustang,Gasoline,Automatic,855000
Ford,Mustang,Gasoline,Automatic,885000
Ford,Mustang,Gasoline,Automatic,905000
Ford,Mustang,Gasoline,Automatic,925000
Ford,Ranger,Diesel,Manual,435000
Ford,Ranger,Diesel,Manual,458000
Ford,Ranger,Diesel,Manual,478000
Ford,Ranger,Diesel,Manual,495000
Ford,Ranger,Diesel,Automatic,525000
Ford,Ranger,Diesel,Automatic,545000
Ford,Ranger,Diesel,Automatic,565000
Jeep,Cherokee,Gasoline,Automatic,535000
Jeep,Cherokee,Gasoline,Automatic,558000
Jeep,Cherokee,Diesel,Automatic,575000
Jeep,Cherokee,Diesel,Automatic,595000
Jeep,Cherokee,Diesel,Automatic,622000
Jeep,Cherokee,Diesel,Automatic,642000
Jeep,Cherokee,Diesel,Automatic,655000
