Brand,Model,Fuel,Transmission,Selling_Price,Trim
Audi,A6,Diesel,Automatic,865000,Advanced TDI
Audi,A6,Diesel,Automatic,965000,Design Luxe TDI
Audi,A6,Diesel,Automatic,1085000,S-Line TDI
Audi,Q7,Diesel,Automatic,1185000,Advanced TDI
Audi,Q7,Diesel,Automatic,1385000,Design Luxe TDI
Audi,Q7,Diesel,Automatic,1585000,S-Line TDI
BMW,Série 5,Diesel,Automatic,765000,520d
BMW,Série 5,Diesel,Automatic,865000,530d
BMW,Série 5,Diesel,Automatic,965000,540d xDrive
BMW,Série 5,Gasoline,Automatic,1185000,M550i xDrive
BMW,X5,Diesel,Automatic,985000,xDrive30d
BMW,X5,Diesel,Automatic,1185000,xDrive40d
BMW,X5,Gasoline,Automatic,1385000,xDrive50i
BMW,X5,Gasoline,Automatic,1685000,M50i
Chery,Tiggo 4 Pro,Gasoline,Manual,185000,Comfort
Chery,Tiggo 4 Pro,Gasoline,Manual,195000,Luxury
Chery,Tiggo 4 Pro,Gasoline,Automatic,215000,Luxury CVT
Chery,Tiggo 4 Pro,Gasoline,Automatic,235000,Premium CVT
Chery,Tiggo 7 Pro,Gasoline,Automatic,265000,Comfort
Chery,Tiggo 7 Pro,Gasoline,Automatic,285000,Luxury
Chery,Tiggo 7 Pro,Gasoline,Automatic,305000,Premium
Chery,Tiggo 7 Pro,Gasoline,Automatic,325000,Elite
Chery,Tiggo 8 Pro,Gasoline,Automatic,335000,Comfort 7 Places
Chery,Tiggo 8 Pro,Gasoline,Automatic,365000,Luxury 7 Places
Chery,Tiggo 8 Pro,Gasoline,Automatic,395000,Premium 7 Places
Chery,Tiggo 8 Pro,Gasoline,Automatic,425000,Elite 7 Places
Haval,H6,Gasoline,Automatic,345000,Active
Haval,H6,Gasoline,Automatic,375000,Comfort
Haval,H6,Gasoline,Automatic,405000,Premium
Haval,H6,Gasoline,Automatic,435000,Elite
Haval,Jolion,Gasoline,Automatic,275000,Active
Haval,Jolion,Gasoline,Automatic,295000,Comfort
Haval,Jolion,Gasoline,Automatic,315000,Premium
Haval,Jolion,Gasoline,Automatic,335000,Elite
Honda,CR-V,Gasoline,Automatic,465000,Elegance
Honda,CR-V,Gasoline,Automatic,515000,Executive
Honda,CR-V,Hybrid,Automatic,565000,Executive Hybrid
Honda,City,Gasoline,Manual,185000,Comfort
Honda,City,Gasoline,Automatic,205000,Elegance CVT
Honda,City,Gasoline,Automatic,225000,Exclusive CVT
Honda,Civic,Gasoline,Automatic,295000,Elegance CVT
Honda,Civic,Gasoline,Automatic,335000,Executive CVT
Honda,Civic,Gasoline,Automatic,375000,Sport CVT
Honda,HR-V,Gasoline,Automatic,335000,Elegance
Honda,HR-V,Gasoline,Automatic,375000,Executive
Honda,HR-V,Gasoline,Automatic,415000,Exclusive
Hyundai,Elantra,Gasoline,Automatic,265000,Essential
Hyundai,Elantra,Gasoline,Automatic,295000,Intuitive
Hyundai,Elantra,Gasoline,Automatic,325000,Creative
Hyundai,Elantra,Gasoline,Automatic,355000,Luxury
Hyundai,Kona,Gasoline,Automatic,295000,Essential
Hyundai,Kona,Gasoline,Automatic,335000,Intuitive
Hyundai,Kona,Gasoline,Automatic,375000,Creative
Hyundai,Kona,Hybrid,Automatic,415000,Creative Hybrid
Kia,Carnival,Diesel,Automatic,525000,Motion 7 Places
Kia,Carnival,Diesel,Automatic,585000,Active 7 Places
Kia,Carnival,Diesel,Automatic,645000,Signature 7 Places
Kia,Seltos,Gasoline,Automatic,295000,Motion
Kia,Seltos,Gasoline,Automatic,325000,Active
Kia,Seltos,Gasoline,Automatic,355000,Design
Kia,Seltos,Gasoline,Automatic,385000,GT Line
Land Rover,Defender,Diesel,Automatic,925000,Defender 110 S
Land Rover,Defender,Diesel,Automatic,1050000,Defender 110 SE
Land Rover,Defender,Diesel,Automatic,1185000,Defender 110 HSE
Land Rover,Defender,Diesel,Automatic,1350000,Defender 110 X
Land Rover,Discovery,Diesel,Automatic,865000,Discovery S
Land Rover,Discovery,Diesel,Automatic,965000,Discovery SE
Land Rover,Discovery,Diesel,Automatic,1085000,Discovery HSE
Land Rover,Range Rover Evoque,Gasoline,Automatic,725000,Evoque S
Land Rover,Range Rover Evoque,Gasoline,Automatic,825000,Evoque SE
Land Rover,Range Rover Evoque,Gasoline,Automatic,925000,Evoque HSE
Land Rover,Range Rover Sport,Diesel,Automatic,1285000,Sport S
Land Rover,Range Rover Sport,Diesel,Automatic,1485000,Sport SE
Land Rover,Range Rover Sport,Diesel,Automatic,1685000,Sport HSE
Land Rover,Range Rover Sport,Gasoline,Automatic,1985000,Sport SVR
Lexus,ES,Hybrid,Automatic,665000,ES 300h
Lexus,ES,Hybrid,Automatic,725000,ES 300h F Sport
Lexus,ES,Hybrid,Automatic,785000,ES 300h Luxury
Lexus,NX,Hybrid,Automatic,665000,NX 350h
Lexus,NX,Hybrid,Automatic,725000,NX 350h F Sport
Lexus,NX,Hybrid,Automatic,785000,NX 450h+ Luxury
Lexus,RX,Hybrid,Automatic,885000,RX 450h
Lexus,RX,Hybrid,Automatic,965000,RX 500h F Sport
Lexus,RX,Hybrid,Automatic,1050000,RX 500h Luxury
Lexus,UX,Hybrid,Automatic,515000,UX 250h
Lexus,UX,Hybrid,Automatic,565000,UX 250h F Sport
Lexus,UX,Hybrid,Automatic,605000,UX 250h Luxury
MG,MG 5,Gasoline,Manual,195000,Standard
MG,MG 5,Gasoline,Manual,215000,Comfort
MG,MG 5,Gasoline,Automatic,235000,Luxury
MG,MG 5,Gasoline,Automatic,255000,Exclusive
MG,MG HS,Gasoline,Automatic,325000,Comfort
MG,MG HS,Gasoline,Automatic,355000,Luxury
MG,MG HS,Gasoline,Automatic,385000,Trophy
MG,MG ZS,Gasoline,Manual,245000,Standard
MG,MG ZS,Gasoline,Manual,265000,Comfort
MG,MG ZS,Gasoline,Automatic,285000,Luxury
MG,MG ZS,Gasoline,Automatic,305000,Exclusive
Mercedes,CLA,Gasoline,Automatic,525000,CLA 200
Mercedes,CLA,Gasoline,Automatic,585000,CLA 220
Mercedes,CLA,Gasoline,Automatic,645000,CLA 250
Mercedes,CLA,Gasoline,Automatic,765000,AMG CLA 35
Mercedes,Classe S,Diesel,Automatic,1485000,S 350d
Mercedes,Classe S,Gasoline,Automatic,1785000,S 500
Mercedes,Classe S,Gasoline,Automatic,2185000,S 580
Mercedes,Classe S,Gasoline,Automatic,2985000,AMG S 63
Mercedes,GLE,Diesel,Automatic,1085000,GLE 300d
Mercedes,GLE,Diesel,Automatic,1285000,GLE 350d
Mercedes,GLE,Diesel,Automatic,1485000,GLE 400d
Mercedes,GLE,Gasoline,Automatic,1885000,AMG GLE 53
Mitsubishi,ASX,Gasoline,Manual,285000,Invite
Mitsubishi,ASX,Gasoline,Automatic,315000,Instyle CVT
Mitsubishi,ASX,Gasoline,Automatic,345000,Instyle Plus CVT
Mitsubishi,Attrage,Gasoline,Manual,165000,GLX
Mitsubishi,Attrage,Gasoline,Manual,175000,GLX Plus
Mitsubishi,Attrage,Gasoline,Automatic,195000,GLS CVT
Mitsubishi,L200,Diesel,Manual,425000,Club Cab 4x2
Mitsubishi,L200,Diesel,Manual,465000,Double Cab 4x2
Mitsubishi,L200,Diesel,Automatic,525000,Double Cab 4x4
Mitsubishi,L200,Diesel,Automatic,565000,Double Cab 4x4 Plus
Mitsubishi,Outlander,Gasoline,Automatic,385000,Intense
Mitsubishi,Outlander,Gasoline,Automatic,425000,Instyle
Mitsubishi,Outlander,Gasoline,Automatic,465000,Instyle Plus
Nissan,Kicks,Gasoline,Automatic,265000,Visia
Nissan,Kicks,Gasoline,Automatic,295000,Acenta
Nissan,Kicks,Gasoline,Automatic,325000,Tekna
Nissan,Navara,Diesel,Manual,445000,Visia 4x2
Nissan,Navara,Diesel,Manual,495000,Acenta 4x2
Nissan,Navara,Diesel,Automatic,565000,Tekna 4x4
Porsche,Cayenne,Gasoline,Automatic,1385000,Cayenne
Porsche,Cayenne,Gasoline,Automatic,1685000,Cayenne S
Porsche,Cayenne,Gasoline,Automatic,1985000,Cayenne GTS
Porsche,Cayenne,Gasoline,Automatic,2485000,Cayenne Turbo
Porsche,Macan,Gasoline,Automatic,885000,Macan
Porsche,Macan,Gasoline,Automatic,1050000,Macan S
Porsche,Macan,Gasoline,Automatic,1250000,Macan GTS
Porsche,Macan,Gasoline,Automatic,1485000,Macan Turbo
Toyota,Camry,Gasoline,Automatic,485000,SE
Toyota,Camry,Gasoline,Automatic,525000,XLE
Toyota,Camry,Hybrid,Automatic,565000,XLE Hybrid
Toyota,Fortuner,Diesel,Automatic,565000,GX 4x2
Toyota,Fortuner,Diesel,Automatic,625000,VX 4x4
Toyota,Fortuner,Diesel,Automatic,685000,VXR 4x4
Toyota,Prado,Diesel,Automatic,825000,GX
Toyota,Prado,Diesel,Automatic,925000,VX
Toyota,Prado,Diesel,Automatic,1025000,VXL
Volkswagen,Caddy,Diesel,Manual,285000,Trendline
Volkswagen,Caddy,Diesel,Automatic,325000,Comfortline
Volkswagen,Caddy,Diesel,Automatic,365000,Highline
Volkswagen,T-Roc,Gasoline,Automatic,365000,Style
Volkswagen,T-Roc,Gasoline,Automatic,415000,Carat
Volkswagen,T-Roc,Gasoline,Automatic,465000,R-Line
