Brand,Model,Fuel,Transmission,Selling_Price
Dacia,Sandero,Gasoline,Manual,131176
Dacia,Sandero,Gasoline,Manual,139112
Dacia,Sandero,Gasoline,Manual,144575
Dacia,Sandero,Gasoline,Manual,139553
Dacia,Sandero,Gasoline,Manual,137406
Dacia,Sandero,Gasoline,Manual,146961
Dacia,Sandero,Gasoline,Manual,150694
Dacia,Sandero,Gasoline,Manual,148079
Dacia,Sandero,Gasoline,Manual,162472
Dacia,Logan,Gasoline,Manual,140825
Dacia,Logan,Gasoline,Manual,154707
Dacia,Logan,Gasoline,Manual,151032
Dacia,Logan,Gasoline,Manual,137943
Dacia,Logan,Gasoline,Manual,166812
Dacia,Logan,Gasoline,Manual,157247
Dacia,Logan,Gasoline,Manual,174857
Dacia,Logan,Gasoline,Manual,168691
Dacia,Duster,Gasoline,Manual,179167
Dacia,Duster,Gasoline,Manual,178545
Dacia,Duster,Gasoline,Manual,190187
Dacia,Duster,Gasoline,Manual,191096
Dacia,Duster,Diesel,Manual,187440
Dacia,Duster,Diesel,Manual,192286
Dacia,Duster,Diesel,Manual,197556
Dacia,Duster,Diesel,Manual,192570
Dacia,Duster,Diesel,4x4,213857
Dacia,Duster,Diesel,4x4,214941
Dacia,Duster,Diesel,4x4,239451
Dacia,Duster,Diesel,4x4,215036
Dacia,Lodgy,Gasoline,Manual,183345
Dacia,Lodgy,Gasoline,Manual,174474
Dacia,Lodgy,Gasoline,Manual,166191
Dacia,Lodgy,Diesel,Manual,175391
Dacia,Lodgy,Diesel,Manual,186825
Dacia,Lodgy,Diesel,Manual,194241
Dacia,Dokker,Gasoline,Manual,147065
Dacia,Dokker,Gasoline,Manual,154482
Dacia,Dokker,Gasoline,Manual,146750
Dacia,Dokker,Gasoline,Manual,155155
Dacia,Dokker,Diesel,Manual,166276
Dacia,Dokker,Diesel,Manual,160395
Dacia,Dokker,Diesel,Manual,165043
Renault,Clio,Gasoline,Manual,167159
Renault,Clio,Gasoline,Manual,171886
Renault,Clio,Gasoline,Manual,165586
Renault,Clio,Gasoline,Manual,168700
Renault,Clio,Gasoline,Manual,167969
Renault,Clio,Gasoline,Automatic,186494
Renault,Clio,Gasoline,Automatic,189347
Renault,Clio,Gasoline,Automatic,187687
Renault,Clio,Gasoline,Automatic,214563
